cid,cmpdname,cmpdsynonym,mw,mf,polararea,complexity,xlogp,heavycnt,hbonddonor,hbondacc,rotbonds,inchikey,iupacname,meshheadings,annothits,annothitcnt,aids,cidcdate,dois
41524,"Acetophenone, 4-(2,4-diamino-5-pyrimidinylmethyl)-2,6-dimethoxy-","BRN 0835414|55687-76-8|ACETOPHENONE, 4-(2,4-DIAMINO-5-PYRIMIDINYLMETHYL)-2,6-DIMETHOXY-|4-(2,4-Diamino-5-pyrimidinylmethyl)-2,6-dimethoxyacetophenone|AC1L25XP|CHEMBL174516|SCHEMBL11851191|DTXSID70204215|RYAPRJDMWXYXKI-UHFFFAOYSA-N|LS-13455|1-[4-[(2,4-diaminopyrimidin-5-yl)methyl]-2,6-dimethoxyphenyl]ethanone|4'-[(2,4-diamino-5-pyrimidinyl)-methyl]-2',6'-dimethoxy-acetophenone",302.33,C15H18N4O3,113,368,1.1,22,2,7,5,RYAPRJDMWXYXKI-UHFFFAOYSA-N,"1-[4-[(2,4-diaminopyrimidin-5-yl)methyl]-2,6-dimethoxyphenyl]ethanone",NULL,9754,6,58159,20050808,10.1021/jm00373a016
65651,Fluazuron,"Fluazuron|86811-58-7|Acatak|UNII-VB0PV6I7L6|Fluazuron [INN]|VB0PV6I7L6|CHEBI:39374|Fluazuron (INN)|NCGC00166205-01|AK161763|1-(4-Chloro-3-((3-chloro-5-(trifluoromethyl)-2-pyridyl)oxy)phenyl)-3-(2,6-difluorobenzoyl)urea|N-[[4-chloro-3-[3-chloro-5-(trifluoromethyl)pyridin-2-yl]oxyphenyl]carbamoyl]-2,6-difluorobenzamide|Fluazuronum|N-((4-chloro-3-((3-chloro-5-(trifluoromethyl)pyridin-2-yl)oxy)phenyl)carbamoyl)-2,6-difluorobenzamide|N-[(4-chloro-3-{[3-chloro-5-(trifluoromethyl)pyridin-2-yl]oxy}phenyl)carbamoyl]",506.2,C20H10Cl2F5N3O3,80.3,694,NULL,33,2,9,4,YOWNVPAUWYHLQX-UHFFFAOYSA-N,"N-[[4-chloro-3-[3-chloro-5-(trifluoromethyl)pyridin-2-yl]oxyphenyl]carbamoyl]-2,6-difluorobenzamide",NULL,55130,10,"1469,1471,1479,1490,1688,1766,1768,2528,2546,2551,2662,485290,485979,492961,504327,504332,504749,504832,504834,504847,504865,588579,588834,602332,624030,624031,624032,624044,624170,624172,624173,624296,624297,651631,651632,651633,651634,652048,652051,686978,686979,720516,720532,720533,720552,720634,720635,720637,720674,720675,720678,720679,720680,720681,720682,720683,720684,720685,720686,720687,720691,720692,720693,720719,720725,743012,743014,743015,743033,743035,743036,743040,743041,743042,743053,743054,74",20050808,10.1002/jemt.22282|10.1007/3-540-29835-5_2000|10.1007/3-540-29835-5_2062|10.1007/978-1-59745-180-2_46|10.1007/978-3-540-48996-2_1153|10.1007/978-3-540-74664-5_18|10.1007/978-3-662-03565-8_11|10.1007/978-3-662-04164-2_5|10.1007/978-3-662-43978-4_1153|10.1007/BF01906255|10.1007/s0021663560010|10.1007/s0021663560013|10.1007/s00436-012-3103-7|10.1007/s00436-013-3282-x|10.1007/s00436-014-4273-2|10.1007/s00436-017-5425-y|10.1007/s00436-017-5677-6|10.1007/s007690050061|10.1007/s007690050387|10.1007/s007690050388|1
79650,"2H-1-Benzopyran-2-one, 7-[[4-chloro-6-(diethylamino)-1,3,5-triazin-2-yl]amino]-3-phenyl-","5516-22-3|NSC338963|2-(3-Phenylcoumarin-7-ylamino)-4-chloro-6-diethylamino-s-triazine|2H-1-Benzopyran-2-one, 7-[[4-chloro-6-(diethylamino)-1,3,5-triazin-2-yl]amino]-3-phenyl-|MLS000758535|RWZSFMOHCSPTDM-UHFFFAOYSA-N|7-{[4-chloro-6-(diethylamino)-1,3,5-triazin-2-yl]amino}-3-phenyl-2h-chromen-2-one|2H-1-Benzopyran-2-one, 7-((4-chloro-6-(diethylamino)-1,3,5-triazin-2-yl)amino)-3-phenyl-|Coumarin, 7-[[4-chloro-6-(diethylamino)-s-triazin-2-yl]amino]-3-phenyl-|Coumarin, 7-((4-chloro-6-(diethylamino)-s-triazin-2-y",421.9,C22H20ClN5O2,80.2,623,NULL,30,1,7,6,RWZSFMOHCSPTDM-UHFFFAOYSA-N,"7-[[4-chloro-6-(diethylamino)-1,3,5-triazin-2-yl]amino]-3-phenylchromen-2-one",NULL,18194,6,"155,157,161,165,167,000,000",20050326,10.1371/journal.pone.0022441
119192,Meclinertant,"Meclinertant|146362-70-1|SR 48692|SR-48692|Reminertant|SR48692|UNII-5JBP4SI96H|5JBP4SI96H|CHEMBL506981|2-[[1-(7-chloroquinolin-4-yl)-5-(2,6-dimethoxyphenyl)pyrazole-3-carbonyl]amino]adamantane-2-carboxylic acid|2-((1-(7-Chloro-4-quinolinyl)-5-(2,6-dimethoxyphenyl)pyrazol-3-yl)carbonylamino)tricyclo(3.3.1.1.(3.7))decan-2-carboxylic acid|2-{[1-(7-Chloro-quinolin-4-yl)-5-(2,6-dimethoxy-phenyl)-1H-pyrazole-3-carbonyl]-amino}-adamantane-2-carboxylic acid|Tricyclo(3.3.1.13,7)decane-2-carboxylic acid, 2-(((1-(7-ch",587.1,C32H31ClN4O5,116,991,NULL,42,2,7,7,DYLJVOXRWLXDIG-UHFFFAOYSA-N,"2-[[1-(7-chloroquinolin-4-yl)-5-(2,6-dimethoxyphenyl)pyrazole-3-carbonyl]amino]adamantane-2-carboxylic acid",NULL,247602,10,"2063,84435,147054,388354,388355,388356,388357,388358,388359,388360,414520,418188,602356,602427,624173,624476,624478,624479,651645,651646,651696,651712,651713,686947,686950,700841,743244,743322,743323,743324,743344,743345,743346,743347,757767,757768,757769,757770,757771,757772,757773,757774,757775,1053194,1053195,1061685,1061686,1154138,1154139,1154140,1154142,1159510,1159511,1159512,1159513,1159530,1159925,1182265,1224824,1224825,1224857,1224859,1225168,1259252,1259253,1259255,1259256,1259357,1259358,125935",20050808,10.1002/(sici)1097-0142(19970501)79:9&lt;1787::aid-cncr22&gt;3.0.co;2-t|10.1002/(sici)1097-0215(19990129)80:3&lt;448::aid-ijc19&gt;3.0.co;2-n|10.1002/(sici)1097-0215(19990719)82:2&lt;213::aid-ijc11&gt;3.0.co;2-8|10.1002/(sici)1097-4547(20000501)60:3&lt;362::aid-jnr11&gt;3.0.co;2-f|10.1002/(sici)1098-2396(199708)26:4&lt;370::aid-syn5&gt;3.0.co;2-3|10.1002/(sici)1098-2396(199708)26:4&lt;370::aid-syn5&gt;3.3.co;2-3|10.1002/0471141755.ph0129s24|10.1002/chem.201300696|10.1002/jnr.10415|10.1002/minf.201500080|10.
178117,Pyribenzoxim,"Pyribenzoxim|168088-61-7|Benzophenone O-(2,6-bis((4,6-dimethoxypyrimidin-2-yl)oxy)benzoyl) oxime|Pyanchor|UNII-VBD478968P|LGC-40863|VBD478968P|(benzhydrylideneamino) 2,6-bis[(4,6-dimethoxypyrimidin-2-yl)oxy]benzoate|Pyribenzoxim [ISO:BSI]|SCHEMBL118872|AC1L436F|DTXSID2057996|CTK8B7859|OVXMBIVWNJDDSM-UHFFFAOYSA-N|C32H27N5O8|8580AA|ANW-58799|ZINC43061791|MFCD09751192|AKOS015913761|AN-31017|TR-007296|ST24046023|Pyribenzoxim, PESTANAL(R), analytical standard|33415-EP2371823A1|33415-EP2274983A1|33415-EP2305655A2",609.6,C32H27N5O8,146,849,NULL,45,0,13,13,OVXMBIVWNJDDSM-UHFFFAOYSA-N,"(benzhydrylideneamino) 2,6-bis[(4,6-dimethoxypyrimidin-2-yl)oxy]benzoate",NULL,18200,6,NULL,20050809,10.1002/ps.409|10.1007/978-3-319-09360-4_24|10.1007/978-3-642-59416-8_10|10.1007/BF02978214|10.1007/s001280299|10.1007/s10068-013-0203-9|10.1007/s11030-018-9895-3|10.1007/s13765-012-2042-4|10.1016/j.pestbp.2016.08.006|10.1021/jf051098+|10.1021/jf070760u|10.1021/jf1039469
184185,"2-[(4,6-Dimethoxypyrimidin-2-yl)oxy]benzoic acid","2-[(4,6-Dimethoxypyrimidin-2-yl)oxy]benzoic acid|110284-78-1|2-(4,6-dimethoxypyrimidin-2-yl)oxybenzoic acid|Benzoicc acid, 2-((4,6-dimethoxy-2-pyrimidinyl)oxy)-|2-(4,6-dimethoxypyrimidin-2-yloxy)benzoic acid|2-((4,6-Dimethoxypyrimidin-2-yl)oxy)benzoic acid|Peakdale1_000041|AC1Q5UMF|AC1L4EE5|SCHEMBL3886220|CHEMBL2289327|HMS518B19|DTXSID50149195|KPJNHFDQZKAJKW-UHFFFAOYSA-N|ZINC154230|ZX-AT009244|OR3993|MFCD00203066|AKOS015852186|RTR-002140|VZ23395|HC210318|CC-08310|SC-58345|AJ-13181|TR-002140|DB-040913|FT-064",276.24,C13H12N2O5,90.8,316,NULL,20,1,7,5,KPJNHFDQZKAJKW-UHFFFAOYSA-N,"2-(4,6-dimethoxypyrimidin-2-yl)oxybenzoic acid",NULL,5906,6,"492967,1108998,1108999,1109000,1109001,1109002,1109003,1109004,1109005,1109006,1109007,1109008,1109011,1109012,1109015,1109016,1109019,1109020,1109023,1109024,1109027,1109028,1109031,1109032,1109035,1109037,1109040,1109041,1109044,1109045,1109048,1109049,1109052,1109053,1109056,1109057,1109060,1109061,1109064,1109065,1109066,1109067,1109068,1109069,1109070,1109071,1109072,1109073,1109074,1109075,1109076,1109077,1109078,1259310,1259374",20050719,10.1007/s00253-011-3867-1|10.1007/s11356-015-5600-6|10.1016/j.scitotenv.2010.02.006
208908,Lapatinib,Lapatinib|231277-92-2|Tykerb|GW572016|GW 572016|Lapatinib base|Lapatinib tosilate hydrate|Lapatinib [INN]|Tyverb|388082-78-8|Lapatinib (INN)|Lapatinib free base|UNII-0VUA21238F|GSK 572016|MFCD09264194|GSK572016|FMM|N-{3-CHLORO-4-[(3-FLUOROBENZYL)OXY]PHENYL}-6-[5-({[2-(METHYLSULFONYL)ETHYL]AMINO}METHYL)-2-FURYL]-4-QUINAZOLINAMINE|CHEMBL554|CHEBI:49603|0VUA21238F|NSC745750|GW-572016|NCGC00167507-01|C29H26ClFN4O4S|DSSTox_RID_81812|DSSTox_CID_26675|DSSTox_GSID_46675|N-{3-chloro-4-[(3-fluorophenyl)methoxy]phenyl,581.1,C29H26ClFN4O4S,115,898,NULL,40,2,9,11,BCFGMOOMADDAQU-UHFFFAOYSA-N,N-[3-chloro-4-[(3-fluorophenyl)methoxy]phenyl]-6-[5-[(2-methylsulfonylethylamino)methyl]furan-2-yl]quinazolin-4-amine,Lapatinib,262078,16,"578,1433,1471,1490,1688,1766,1768,1811,2528,2546,2551,2662,68106,69892,256559,256560,256561,256562,256563,256564,256565,256566,256567,256568,256569,256570,256571,256572,256573,256574,256575,256576,256577,256578,256579,256580,256581,256582,256583,256584,256585,256586,256587,256588,256589,256590,256591,256592,256593,256594,256595,256596,256597,256598,256599,256600,256601,256602,256603,256604,256605,256606,256607,256608,256609,256610,256611,256612,256613,256614,256615,256616,256617,256618,256619,256620,256621,",20050624,10.1001/jama.296.2.155|10.1001/jamaoncol.2015.0830|10.1001/jamaoncol.2016.0922|10.1001/jamaoncol.2016.3358|10.1001/jamaoncol.2017.2085|10.1002/14651858.cd006242.pub2|10.1002/14651858.cd010341.pub2|10.1002/ardp.201200267|10.1002/bdd.1872|10.1002/biot.200800110|10.1002/cam4.963|10.1002/cbic.201600115|10.1002/cbin.10922|10.1002/cncr.24033|10.1002/cncr.24337|10.1002/cncr.25171|10.1002/cncr.25172|10.1002/cncr.25476|10.1002/cncr.26101|10.1002/cncr.26356|10.1002/cncr.28284|10.1002/cncr.28465|10.1002/cncr.29224|10.
246783,4-Chloro-2-[(6-methoxypyridin-3-yl)amino]benzoic acid,"NSC60303|4-chloro-2-[(6-methoxypyridin-3-yl)amino]benzoic acid|MLS000737367|6626-07-9|4-CHLORO-N-(6-METHOXY-3-PYRIDYL)ANTHRANILIC ACID|4-Chloro-2-[(6-methoxy-3-pyridinyl)amino]benzoic acid|AC1Q4DDS|AC1Q3QS8|AC1L6IU5|SCHEMBL2008609|CHEMBL1392064|CTK5C3899|HMS2867M15|ZINC393546|NSC-60303|AKOS024322966|MCULE-2114779611|SMR000528280|Z2844|FT-0732617|Benzoic acid,4-chloro-2-[(6-methoxy-3-pyridinyl)amino]-",278.69,C13H11ClN2O3,71.4,316,NULL,19,2,5,4,UYMKSOUAEXWFOT-UHFFFAOYSA-N,4-chloro-2-[(6-methoxypyridin-3-yl)amino]benzoic acid,NULL,38418,6,"155,157,161,165,167,175,485,781,782,798,800,873,880,940,1021,1022,1046,1085,1236,1242,1274,1304,1321,1359,1376,1377,1381,1385,1415,1416,1422,1423,1424,1430,1434,1439,1440,1441,1443,1445,1446,1448,1454,1456,1461,1463,1465,1467,1468,1469,1471,1477,1479,1481,1486,1490,1496,1509,1510,1511,1515,1527,1529,1530,1531,1554,1556,1565,1566,1578,1619,1621,1625,1626,1628,1631,1634,1654,1656,1662,1663,1665,1672,1688,1700,1706,1721,1722,1766,1768,1775,1777,1778,1779,1789,1800,1813,1814,1817,1822,1825,1832,1845,1850,1861,1",20050326,10.1002/0471142956.cy1312s54|10.1002/cyto.a.20268|10.1089/adt.2009.0219|10.1210/en.2010-0199
272662,"2-Hydroxy-4-((2,4,6-triamino-5-pyrimidinyl)diazenyl)benzoic acid","NSC117285|NSC-117285|NCIStruc2_000689|NCIStruc1_001955|AC1L6S41|SCHEMBL5079731|CHEMBL1333384|CHEMBL1971987|CTK7E0738|ZINC3954319|ZINC13099301|NCGC00014182|CCG-37502|NCI117285|NCGC00097291-01|NCGC00014182-02|NCI60_000411|2-hydroxy-4-[(2,4,6-triaminopyrimidin-5-yl)diazenyl]benzoic acid|2-hydroxy-4-((2,4,6-triamino-5-pyrimidinyl)diazenyl)benzoic acid|2-hydroxy-4-[(E)-(2,4,6-triaminopyrimidin-5-yl)diazenyl]benzoic acid",289.25,C11H11N7O3,186,395,0.7,21,5,10,3,UWKYCZZYRPDTJU-UHFFFAOYSA-N,"2-hydroxy-4-[(2,4,6-triaminopyrimidin-5-yl)diazenyl]benzoic acid",NULL,99858,6,"1,3,5,7,9,13,15,19,21,23,25,29,31,33,35,37,39,41,43,45,47,49,53,55,59,65,67,71,73,79,81,83,85,87,89,93,95,97,99,101,103,105,107,109,113,115,119,121,123,125,129,131,133,137,139,141,143,145,155,157,161,165,167,175,348,357,376,410,411,444,445,446,447,448,450,451,526,530,584,585,587,588,589,590,591,592,593,594,595,596,597,603,605,607,630,662,875,880,881,883,884,885,886,887,889,891,892,893,894,899,900,902,912,914,915,923,924,925,926,938,940,995,1030,1379,1422,1452,1457,1458,1471,1476,1478,1851,1948,2326,1224817",20050326,10.1016/j.chembiol.2015.06.009
361500,"Benzamide, N-(((4-((5-chloro-2-pyrimidinyl)oxy)-3-(trifluoromethyl)phenyl)amino)carbonyl)-2-nitro-","NSC624544|N-(2-Nitrobenzoyl)-N'-(4-(5-chloro-2-pyrimidinyloxy)-3-trifluoromethylphenyl)urea|Benzamide, N-(((4-((5-chloro-2-pyrimidinyl)oxy)-3-(trifluoromethyl)phenyl)amino)carbonyl)-2-nitro-|Benzamide, N-[[[4-[(5-chloro-2-pyrimidinyl)oxy]-3-(trifluoromethyl)phenyl]amino]carbonyl]-2-nitro-|NSC-624544|AC1L7ISF|AC1Q202Z|CHEMBL2002481|SCHEMBL10443371|NITRO TRIFLUORO BENZYLUREA|ZINC585630|n-({4-[(5-chloropyrimidin-2-yl)oxy]-3-(trifluoromethyl)phenyl}carbamoyl)-2-nitrobenzamide|NCI60_007450|LS-26223|N-[[4-(5-chlo",481.8,C19H11ClF3N5O5,139,717,NULL,33,2,10,4,ICDRYYPOSXDURK-UHFFFAOYSA-N,N-[[4-(5-chloropyrimidin-2-yl)oxy-3-(trifluoromethyl)phenyl]carbamoyl]-2-nitrobenzamide,NULL,42514,6,"1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,101,103,105,107,109,113,115,119,121,123,125,129,131,133,135,137,139,141,143,145,155,157,161,165,167,175,179",20050326,NULL
